"Prop_ID","Playground_ID","Name","Location","Accessible","lat","lon","slug","ADA_Accessible_Comfort_Station","Sensory-Friendly"
"X004","X004-04","Metcalf Playground","E 174 & Bronx River Pkwy","Yes","40.8346","-73.8736","null","No","Y"
"X008","X008-03","Claremont Park Playground","Mt Eden & Morris Ave","Limited","40.8423","-73.9092","null","Not Accessible","N"
"X010","X010-01","Crotona Playground (1)","Crotona Ave, Crotona Park N","Limited","40.8421","-73.8948","null","Accessible","Y"
"X010","X010-02","Prospect Park (2)","Crotona N. Bet Marmion, Prospect","Yes","40.8404","-73.8917","null","No","Y"
"X010","X010-03","Crotona Playground (3)","Crotona N. Bet Waterloo, Marmion","Limited","40.8391","-73.8892","null","No","Y"
"X010","X010-05","Hill & Dale Playground","Crotona Park E, E. 173 St","Yes","40.8374","-73.8906","null","No","Y"
"X010","X010-06","Boxcar Playground (6)","Crotona E-Suburban, Charlotte","Limited","40.8369","-73.8929","null","No","Y"
"X010","X010-07","Carter Playground (7)","Crotona Park E between Wilkins Ave & Charlotte St","Yes","40.8369","-73.8945","null","No","Y"
"X010","X010-08","Martin Van Buren Playground","Crotona E-Claremont, Prospect","Yes","40.8354","-73.8959","null","Not Accessible","Y"
"X010","X010-10","Playground Of The Stars","Fulton Ave Bet St Paul, E171","Yes","40.8359","-73.9001","null","Not Accessible","Y"
"X010","X010-12","Bathgate Playground","Fulton Ave, E. 173 - E. 174 Sts","Yes","40.8409","-73.8975","null","Not Accessible","Y"
"X010A","X010A-01","Tremont Playground","E Tremont & Arthur Aves","Yes","40.8461","-73.8937","null","No","Y"
"X010A","X010A-02","175th Street Playground","E 175 St & Arthur Ave","Yes","40.8444","-73.8946","null","Not Accessible","Y"
"X013","X013-01","Devoe Park Playground","University Ave & Fr Zeiser Pl, Near W. 188 St","Yes","40.864","-73.9046","null","Accessible","N"
"X013","X013-02","Devoe Park Playground","Sedgwick Ave & Fordham Rd","Yes","40.8632","-73.9078","null","No","N"
"X014","X014","Horseshoe Playground","E. 165 St and Rogers Pl","Yes","40.8241","-73.8977","null","Not Accessible","N"
"X017","X017-02","Richman (Echo) Park Upper Playground","E 178 St & Ryer Ave, Upper Level","Yes","40.8496","-73.9019","null","Accessible","Y"
"X019","X019-01","Ewen Playground","W. 232nd St Entrance, between Cambridge Ave & Riverdale Ave","Yes","40.8829","-73.9097","null","Not Accessible","Y"
